CC;Caisse;Annee;Sexe;ageconj;
0012;Fonction publique d'état civile;2021;Hommes;62;
0012;Fonction publique d'état civile;2022;Hommes;62;
0012;Fonction publique d'état civile;2022;Femmes;62;
0012;Fonction publique d'état civile;2022;Ensemble;62;
0300;RATP;2008;Ensemble;55;
0300;RATP;2008;Femmes;56;
0300;RATP;2008;Hommes;54;
0300;RATP;2009;Ensemble;55;
0300;RATP;2009;Femmes;56;
0300;RATP;2009;Hommes;55;
0300;RATP;2010;Ensemble;55;
0300;RATP;2010;Femmes;56;
0300;RATP;2010;Hommes;55;
0300;RATP;2011;Ensemble;55;
0300;RATP;2011;Femmes;55;
0300;RATP;2011;Hommes;55;
0300;RATP;2012;Ensemble;54;
0300;RATP;2012;Femmes;55;
0300;RATP;2012;Hommes;54;
0300;RATP;2013;Ensemble;55;
0300;RATP;2013;Femmes;55;
0300;RATP;2013;Hommes;55;
0300;RATP;2014;Ensemble;55;
0300;RATP;2014;Femmes;55;
0300;RATP;2014;Hommes;55;
0300;RATP;2015;Ensemble;55;
0300;RATP;2015;Femmes;55;
0300;RATP;2015;Hommes;55;
0300;RATP;2016;Ensemble;55;
0300;RATP;2016;Femmes;55;
0300;RATP;2016;Hommes;55;
0300;RATP;2017;Ensemble;55;
0300;RATP;2017;Femmes;55;
0300;RATP;2017;Hommes;55;
0300;RATP;2018;Ensemble;55;
0300;RATP;2018;Femmes;55;
0300;RATP;2018;Hommes;55;
0300;RATP;2019;Ensemble;55;
0300;RATP;2019;Femmes;55;
0300;RATP;2019;Hommes;55;
0300;RATP;2020;Ensemble;55;
0300;RATP;2020;Femmes;55;
0300;RATP;2020;Hommes;55;
0300;RATP;2021;Ensemble;55;
0300;RATP;2021;Femmes;55;
0300;RATP;2021;Hommes;56;
0300;RATP;2022;Femmes;55;
0300;RATP;2022;Hommes;56;
0300;RATP;2022;Ensemble;56;
0060;SNCF;2007;Ensemble;54;
0060;SNCF;2007;Femmes;55;
0060;SNCF;2007;Hommes;54;
0060;SNCF;2008;Ensemble;54;
0060;SNCF;2008;Femmes;55;
0060;SNCF;2008;Hommes;54;
0060;SNCF;2009;Ensemble;55;
0060;SNCF;2009;Femmes;55;
0060;SNCF;2009;Hommes;55;
0060;SNCF;2010;Ensemble;55;
0060;SNCF;2010;Femmes;55;
0060;SNCF;2010;Hommes;55;
0060;SNCF;2011;Ensemble;55;
0060;SNCF;2011;Femmes;56;
0060;SNCF;2011;Hommes;55;
0060;SNCF;2012;Ensemble;56;
0060;SNCF;2012;Femmes;56;
0060;SNCF;2012;Hommes;55;
0060;SNCF;2013;Ensemble;56;
0060;SNCF;2013;Femmes;56;
0060;SNCF;2013;Hommes;56;
0060;SNCF;2014;Ensemble;56;
0060;SNCF;2014;Femmes;56;
0060;SNCF;2014;Hommes;56;
0060;SNCF;2015;Ensemble;56;
0060;SNCF;2015;Femmes;56;
0060;SNCF;2015;Hommes;56;
0060;SNCF;2016;Ensemble;56;
0060;SNCF;2016;Femmes;56;
0060;SNCF;2016;Hommes;56;
